frame type (0: base 1: event), frame identifier, segment number, frame size, event occurred, map to cam samp. time
1,60,7,12304,-100,-100
1,60,8,12304,-100,-100
1,60,9,12304,-100,-100
1,60,10,12304,-100,-100
1,60,11,12304,-100,-100
1,60,12,11872,-100,-100
1,64,-1,158624,4.236838459,4.2375
1,64,0,12304,-100,-100
1,64,1,12304,-100,-100
1,64,2,12304,-100,-100
1,64,3,12304,-100,-100
1,64,4,12304,-100,-100
1,64,5,12304,-100,-100
1,64,6,12304,-100,-100
1,64,7,12304,-100,-100
1,64,8,12304,-100,-100
1,64,9,12304,-100,-100
1,64,10,12304,-100,-100
1,64,11,12304,-100,-100
1,64,12,12304,-100,-100
1,64,13,2928,-100,-100
1,63,-1,148272,4.162000186,4.1625
1,63,0,12304,-100,-100
1,63,1,12304,-100,-100
1,63,2,12304,-100,-100
1,63,3,12304,-100,-100
1,63,4,12304,-100,-100
1,63,5,12304,-100,-100
1,63,6,12304,-100,-100
1,63,7,12304,-100,-100
1,63,8,12304,-100,-100
1,63,9,12304,-100,-100
1,63,10,12304,-100,-100
1,63,11,12304,-100,-100
1,63,12,4576,-100,-100
1,66,-1,128728,4.317330529,4.31875
1,66,0,12304,-100,-100
1,66,1,12304,-100,-100
1,66,2,12304,-100,-100
1,66,3,12304,-100,-100
1,66,4,12304,-100,-100
1,66,5,12304,-100,-100
1,66,6,12304,-100,-100
1,66,7,12304,-100,-100
1,66,8,12304,-100,-100
1,66,9,12304,-100,-100
1,66,10,9032,-100,-100
0,67,-1,149152,4.39583,4.39583
0,67,0,12304,-100,-100
0,67,1,12304,-100,-100
0,67,2,12304,-100,-100
0,67,3,12304,-100,-100
0,67,4,12304,-100,-100
0,67,5,12304,-100,-100
0,67,6,12304,-100,-100
0,67,7,12304,-100,-100
0,67,8,12304,-100,-100
0,67,9,12304,-100,-100
0,67,10,12304,-100,-100
0,67,11,12304,-100,-100
0,67,12,5456,-100,-100
0,68,-1,157704,4.47292,4.47292
0,68,0,12304,-100,-100
0,68,1,12304,-100,-100
